id;kirundi0;prefix;stem;stem_perf;perf;plural;type;class2;class2p;kirundi0_a;prefix_a;stem_a;stem_perf_a;noPlural;pluralFull;sourceLanguage
1;akahebwe;ak;ahebwe;;;utw;1;12;13;akahebge;ak;āhebge;;0;;NULL
2;akaheze;ak;aheze;;;;1;12;NULL;;;;;0;;NULL
3;kwahira;kw;ahira;ahiye;ye;;0;NULL;NULL;;;;;0;;NULL
4;kwahirika;kw;ahirika;ahiritse;tse;;0;NULL;NULL;;;;;0;;NULL
5;kwahirira;kw;ahirira;ahiriye;ye;;0;NULL;NULL;;;;;0;;NULL
6;kwahiza;kw;ahiza;ahije;je;;0;NULL;NULL;;;;;0;;NULL
7;aho;;aho;;;;7;NULL;NULL;;;;;0;;NULL
8;aho rero;;aho rero;;;;9;NULL;NULL;;;;;0;;NULL
9;kwahuka;kw;ahuka;ahutse;tse;;0;NULL;NULL;;;;;0;;NULL
10;kwahukana;kw;ahukana;ahukanye;nye;;0;NULL;NULL;;;;;0;;NULL
11;kwahukanya;kw;ahukanya;ahukanije;nije;;0;NULL;NULL;;;;;0;;NULL
12;kwahura;kw;ahura;ahuye;ye;;0;NULL;NULL;;;;;0;;NULL
13;kwaka;kw;aka;atse;tse;;0;NULL;NULL;;;;;0;;NULL
14;umwaka;umw;aka;;;imy;1;3;4;;;;;0;;NULL
15;umwakaka;umw;akaka;;;imy;1;3;4;;;;;0;;NULL
17;ubwakara;ubw;akara;;;am;1;14;6;ubgakara;ubg;;;0;;NULL
18;kwakira;kw;akira;akiriye;riye;;0;NULL;NULL;;;;;0;;NULL
19;kwakirana;kw;akirana;akiranye;nye;;0;NULL;NULL;;;;;0;;NULL
20;kwakiranwa;kw;akiranwa;akiranywe;nywe;;0;NULL;NULL;;;;;0;;NULL
21;kwakirwa;kw;akirwa;akiwe;we;;0;NULL;NULL;;;;;0;;NULL
22;kwakura;kw;akura;akuye;ye;;0;NULL;NULL;;;;;0;;NULL
23;kwama;kw;ama;amye;mye;;0;NULL;NULL;;;;;0;;NULL
24;-zi;-;zi;;;;0;NULL;NULL;;;;;0;;NULL
25;inyama;iny;ama;;;iny;1;9;10;;;;;0;;NULL
26;kwamaho;kw;amaho;amyeho;myeho;;0;NULL;NULL;;;;;0;;NULL
27;kwamamara;kw;amamara;amamaye;ye;;0;NULL;NULL;;;;;0;;NULL
28;kwamamaza;kw;amamaza;amamaje;je;;0;NULL;NULL;;;;;0;;NULL
29;kwamana;kw;amana;amanye;nye;;0;NULL;NULL;;;;;0;;NULL
30;ubwamaso;ubw;amaso;;;;1;14;NULL;ubgamaso;ubg;;;1;;NULL
31;inyamaswa;iny;amāswa;;;iny;1;9;10;;;;;0;;NULL
32;kwambara;kw;ambara;ambaye;ye;;0;NULL;NULL;;;;;0;;NULL
33;inyambarabami;iny;ambarabami;;;iny;1;9;10;;;;;0;;NULL
34;umwambaro;umw;ambaro;;;imy;1;3;4;;;;;0;;NULL
35;kwambarwa;kw;ambarwa;ambawe;we;;0;NULL;NULL;;;;;0;;NULL
36;icambarwa;ic;āmbarwa;;;ivy;1;7;8;;;;;0;;NULL
37;kwambaza;kw;ambaza;ambaje;je;;0;NULL;NULL;;;;;0;;NULL
38;icambazo;ic;ambazo;;;ivy;1;7;8;;;;;0;;NULL
39;kwambika;kw;ambika;ambitse;tse;;0;NULL;NULL;;;;;0;;NULL
40;kwambikwa;kw;ambikwa;ambitswe;tswe;;0;NULL;NULL;;;;;0;;NULL
