id;kirundi0;pronounciation;prefix;stem;stem_perf;perf;plural;type;class;classp;class2;class2p;kirundi0_a;prefix_a;stem_a;stem_perf_a;relatives;rude;transitive;noPlural;pluralFull;sourceLanguage
1;akahebwe;akaáhebwe;ak;ahebwe;;;utw;1;7;7;12;13;akahebge;ak;ahebge;;;0;;0;;NULL
2;akaheze;akaáheze;ak;aheze;;;;1;7;NULL;12;NULL;;;;;1578;0;;0;;NULL
3;kwahira;kwaáhira;kw;ahira;ahiye;ye;;0;NULL;NULL;NULL;NULL;;;;;6550;0;;0;;NULL
4;kwahirika;kwaáhirika;kw;ahirika;ahiritse;tse;;0;NULL;NULL;NULL;NULL;;;;;6550;0;;0;;NULL
5;kwahirira;kwaáhirira;kw;ahirira;ahiriye;ye;;0;NULL;NULL;NULL;NULL;;;;;;0;;0;;NULL
6;kwahiza;kwaáhiza;kw;ahiza;ahije;je;;0;NULL;NULL;NULL;NULL;;;;;;0;;0;;NULL
7;aho;aho;;aho;;;;7;NULL;NULL;NULL;NULL;;;;;;0;;0;;NULL
8;aho rero;aho reeró;;aho rero;;;;9;NULL;NULL;NULL;NULL;;;;;;0;;0;;NULL
9;kwahuka;kwaáhuka;kw;ahuka;ahutse;tse;;0;NULL;NULL;NULL;NULL;;;;;;0;;0;;NULL
10;kwahukana;kwaáhukaana;kw;ahukana;ahukanye;nye;;0;NULL;NULL;NULL;NULL;;;;;;0;vi;0;;NULL
11;kwahukanya;kwaáhukaanya;kw;ahukanya;ahukanije;nije;;0;NULL;NULL;NULL;NULL;;;;;;0;vt;0;;NULL
12;kwahura;kwaáhura;kw;ahura;ahuye;ye;;0;NULL;NULL;NULL;NULL;;;;;;0;;0;;NULL
13;kwaka;kwaaka;kw;aka;atse;tse;;0;NULL;NULL;NULL;NULL;;;;;;0;;0;;NULL
14;umwaka;umwáaka;umw;aka;;;imy;1;2;2;3;4;;;;;;0;;0;;NULL
15;umwakaka;umwaakaaka;umw;akaka;;;imy;1;2;2;3;4;;;;;;0;;0;;NULL
17;ubwakara;ubwáakará;ubw;akara;;;am;1;8;8;14;6;ubgakara;ubg;;;;0;;0;;NULL
18;kwakira;kwaakiira;kw;akira;akiriye;riye;;0;NULL;NULL;NULL;NULL;;;;;;0;;0;;NULL
19;kwakirana;kwakirana;kw;akirana;akiranye;nye;;0;NULL;NULL;NULL;NULL;;;;;;0;;0;;NULL
20;kwakiranwa;kwaakiranwa;kw;akiranwa;akiranywe;nywe;;0;NULL;NULL;NULL;NULL;;;;;;0;;0;;NULL
21;kwakirwa;kwaakiirwa;kw;akirwa;akiwe;we;;0;NULL;NULL;NULL;NULL;;;;;;0;;0;;NULL
22;kwakura;kwaakura;kw;akura;akuye;ye;;0;NULL;NULL;NULL;NULL;;;;;;0;;0;;NULL
23;kwama;kw-aàma;kw;ama;amye;mye;;0;NULL;NULL;NULL;NULL;;;;;;0;;0;;NULL
24;-zi;;-;zi;;;;0;NULL;NULL;NULL;NULL;;;;;;0;;0;;NULL
25;inyama;inyama;iny;ama;;;iny;1;3;3;9;10;;;;;;0;;0;;NULL
26;kwamaho;kwaámahó;kw;amaho;amyeho;myeho;;0;NULL;NULL;NULL;NULL;;;;;12;0;;0;;NULL
27;kwamamara;kwaámamara;kw;amamara;amamaye;ye;;0;NULL;NULL;NULL;NULL;;;;;;0;vi;0;;NULL
28;kwamamaza;kwaámamaza;kw;amamaza;amamaje;je;;0;NULL;NULL;NULL;NULL;;;;;;0;;0;;NULL
29;kwamana;kwaámana;kw;amana;amanye;nye;;0;NULL;NULL;NULL;NULL;;;;;23;0;;0;;NULL
30;ubwamaso;ubwáamáaso;ubw;amaso;;;;1;8;NULL;14;NULL;ubgamaso;ubg;;;;0;;1;;NULL
31;inyamaswa;;iny;amāswa;;;iny;1;3;3;9;10;;;;;;0;;0;;NULL
32;kwambara;kwaambara;kw;ambara;ambaye;ye;;0;NULL;NULL;NULL;NULL;;;;;;0;;0;;NULL
33;inyambarabami;inyámbarabaámi;iny;ambarabami;;;iny;1;3;3;9;10;;;;;;0;;0;;NULL
34;umwambaro;umwaambaro;umw;ambaro;;;imy;1;2;2;3;4;;;;;;0;;0;;NULL
35;kwambarwa;kwaambarwa;kw;ambarwa;ambawe;we;;0;NULL;NULL;NULL;NULL;;;;;;0;;0;;NULL
36;icambarwa;;ic;āmbarwa;;;ivy;1;4;4;7;8;;;;;;0;;0;;NULL
37;kwambaza;kwaambaza;kw;ambaza;ambaje;je;;0;NULL;NULL;NULL;NULL;;;;;;0;;0;;NULL
38;icambazo;icaambazo;ic;ambazo;;;ivy;1;4;4;7;8;;;;;;0;;0;;NULL
39;kwambika;kwaambika;kw;ambika;ambitse;tse;;0;NULL;NULL;NULL;NULL;;;;;;0;vt;0;;NULL
40;kwambikwa;kwaambikwa;kw;ambikwa;ambitswe;tswe;;0;NULL;NULL;NULL;NULL;;;;;;0;;0;;NULL
41;kwambira;kwaambira;kw;ambira;ambiye;ye;;0;NULL;NULL;NULL;NULL;;;;;;0;;0;;NULL
42;umwambiro;umwaambiro;umw;ambiro;;;imy;1;2;2;3;4;;;;;;0;;0;;NULL
44;icambu;;ic;āmbu;;;ivy;1;4;4;7;8;;;;;;0;;0;;NULL
45;kwambuka;kwaambuka;kw;ambuka;ambutse;tse;;0;NULL;NULL;NULL;NULL;;;;;;0;;0;;NULL
46;kwambukana;kwaambukana;kw;ambukana;ambukanye;nye;;0;NULL;NULL;NULL;NULL;;;;;;0;;0;;NULL
47;umwambukira;umwáambukiirá;umw;ambukira;;;ab;1;1;1;1;2;;;;;;0;;0;;NULL
48;inyambukira;inyámbukiirá;iny;ambukira;;;iny;1;3;3;9;10;;;;;;0;;0;;NULL
49;kwambura;kwaambura;kw;ambura;ambuye;ye;;0;NULL;NULL;NULL;NULL;;;;;32;0;;0;;NULL
50;ubwambure;ubwaámbure;ubw;ambure;;;;1;8;NULL;14;NULL;ubgambure;ubg;;;;0;;0;;NULL
51;kwambutsa;kwaambutsa;kw;ambutsa;ambukije;kije;;0;NULL;NULL;NULL;NULL;;;;;;0;;0;;NULL
