entry;description;PoS;PoS detail;alternatives
aaron;;PROPN_NAM;;
aarons;;PROPN_NAM;;
abbas;;PROPN_NAM;;
abbey;;PROPN_NAM;;
abbott;;PROPN_NAM;;
abc;;PROPN_ORG;;
abdalla;;PROPN_NAM;;
abdallah;;PROPN_NAM;;
abdel;;PROPN_NAM;;
abdul;;PROPN_NAM;;
abdullah;;PROPN_NAM;;
abdullahi;;PROPN_NAM;;
abdurahman;;PROPN_NAM;;
abel;;PROPN_NAM;;
aberdeen;;PROPN_LOC;;
abihebeyimana;;PROPN_NAM;;
abord;;F;;
abraha;;PROPN_NAM;;
abraham;;PROPN_NAM;;
abramovich;;PROPN_NAM;;
abyssinica;;PROPN_SCI;;
ac;;PROPN_ORG;;
academie;;F;;
academique;;F;;
acanthus;;PROPN_SCI;;
accepte;;F;;
acces;;F;;
accident;;F;;
accord;;F;;
accra;;PROPN_LOC;;
accueil;;F;;
acheampong;;PROPN_NAM;;
achraf;;PROPN_NAM;;
acid;;F;;
acled;;PROPN_ORG;;
act;;F;;
actes;;F;;
acteur;;F;;
acteurs;;F;;
action;;F;;
activites;;F;;
adam;;PROPN_NAM;;
adama;;PROPN_NAM;;
adams;;PROPN_NAM;;
adamu;;PROPN_NAM;;
adc;;PROPN_ORG;;
addi;;PROPN_LOC;;"addis;abeba"
addo;;PROPN_NAM;;
adel;;PROPN_NAM;;
adélard;;PROPN_NAM;;
adele;;PROPN_NAM;;
adélie;;PROPN_NAM;;
adelin;;PROPN_NAM;;
adeline;;PROPN_NAM;;
adelino;;PROPN_NAM;;
adelphine;;PROPN_NAM;;
adenauer;;PROPN_NAM;;
aderino;;PROPN_NAM;;
adf;;PROPN_ORG;;
adhanom;;PROPN_NAM;;
adherant;;F;;
adidas;;PROPN_ORG;;
adiele;;PROPN_NAM;;
adigrat;;PROPN_NAM;;
adjoint;;F;;
adlesic;;PROPN_NAM;;
administrateur;;F;;
administratif;;F;;
administration;;F;;
administrative;;F;;
administratives;;F;;
adn;;PROPN_ORG;;
adolphe;;PROPN_NAM;;
adoration;;F;;
adriano;;PROPN_NAM;;
adrien;;PROPN_NAM;;
adriyano;;PROPN_NAM;;
aeroflot;;PROPN_ORG;;
aeroport;;F;;
afd;;PROPN_ORG;;
affaire;;F;;
affaires;;F;;
afirika y'epfo;;PROPN_LOC;;
afjb;;PROPN_ORG;;
afp;;PROPN_ORG;;
africain;;F;;
africanus;;PROPN_SCI;;
afuganistani;;PROPN_LOC;;"afganistan;afghanistan;afghanistani;afghani;afganisitani"
afurika;;PROPN_LOC;;"afirika;africa;afrika;africaines;african;africans;africana;africaine;afrique;afriques"
again;;F;;
against;;F;;
agasakuza;;PROPN_VEG;;
agateretswenimana;;PROPN_NAM;;
agateretswenimana;;PROPN_NAM;;
agathon;;PROPN_NAM;;
age;;F;;
agence;;F;;
agency;;F;;
agent;;F;;
agents;;F;;
agi;;F;;
agir;;F;;
agit;;F;;
aglaya;;PROPN_NAM;;
agnes;;PROPN_NAM;;
agnès;;PROPN_NAM;;
agoa;;PROPN_ORG;;
agriculture;;F;;
agrippa;;PROPN_NAM;;
agronome;;F;;
aguero;;PROPN_NAM;;
ahmad;;PROPN_NAM;;
ahmara;;PROPN_LOC;;
ahmed;;PROPN_NAM;;
ai;;PROPN_ORG;;
aide;;F;;
aiden;;PROPN_NAM;;
aids;;PROPN_SCI;;
aif;;PROPN_ORG;;
ailleurs;;F;;
aimable;;F;;
aimable;;PROPN_NAM;;
aime;;F;;
ainsi;;F;;
air;;F;;
airbus;;PROPN_ORG;;
airfinity;;PROPN_ORG;;
airlines;;F;;
airways;;F;;
aitv ;;PROPN_ORG;;
aivd;;PROPN_ORG;;
ajax;;PROPN_ORG;;
al;;F;;
alabama;;PROPN_LOC;;
alain;;PROPN_NAM;;
alan;;PROPN_NAM;;
alassane;;PROPN_NAM;;
albert;;PROPN_NAM;;
alberta;;PROPN_NAM;;
alberto;;PROPN_NAM;;
